what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1390423860552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390423860888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390423865132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390423865786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423888064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423910134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423923967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423929464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423930431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423936825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390423944411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423953507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423955001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423957134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423960417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423966238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423974896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390423981010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390423983156
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1390424034422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390424034429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390424034441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390424034450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390424036261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390424036336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390424053648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390424075333
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1390424077914
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1390424078062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390424078903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390424084452
